년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2002-07-01,131,25.5,19.1,34.7
2002-08-01,131,24.2,19,33.6
2002-09-01,131,20.5,11.2,30.3
2002-10-01,131,12.2,-1.5,24.4
2002-11-01,131,4.1,-6.7,19.4
2002-12-01,131,1.6,-10,15.9
2003-01-01,131,-2.9,-17.5,9.7
2003-02-01,131,2.2,-9.7,12.5
2003-03-01,131,6.3,-4.9,20.4
2003-04-01,131,13.2,1.8,26.2
2003-05-01,131,19.1,5.9,29.3
2003-06-01,131,21.9,13.4,29.8
2003-07-01,131,23.4,16.4,31
2003-08-01,131,24.1,16.8,32
2003-09-01,131,20.8,11.2,29.4
2003-10-01,131,13.4,1.3,25.9
2003-11-01,131,9.3,-5.6,22.5
2003-12-01,131,1,-9.7,11.2
2004-01-01,131,-1.7,-15.5,9.2
2004-02-01,131,2.6,-11,19.5
2004-03-01,131,6.1,-9,22.3
2004-04-01,131,13.4,1.2,27.6
2004-05-01,131,18.2,7.4,28.5
2004-06-01,131,23.1,11.6,32.4
2004-07-01,131,26,19.8,34.6
2004-08-01,131,25.8,18.9,33.6
2004-09-01,131,21.4,13.2,30
2004-10-01,131,14.7,1.4,25.9
2004-11-01,131,8.7,-2.3,23.2
2004-12-01,131,2.5,-8.9,18.3
2005-01-01,131,-1.6,-11.2,10.4
2005-02-01,131,-0.9,-11.7,12.3
2005-03-01,131,5.2,-6.4,19
2005-04-01,131,14,0.8,31.3
2005-05-01,131,17.9,6.8,29.2
2005-06-01,131,23,13.2,31.8
2005-07-01,131,25.5,18.5,34
2005-08-01,131,25.4,18.3,34
2005-09-01,131,22.4,13.6,32.3
2005-10-01,131,14.4,0.7,25.8
2005-11-01,131,8.2,-5.4,22.1
2005-12-01,131,-3.5,-15,13.4
2006-01-01,131,0.2,-12.5,13
2006-02-01,131,0.7,-12.7,13
2006-03-01,131,6.1,-6.6,19.4
2006-04-01,131,12.1,2.8,24.1
2006-05-01,131,18.9,9.7,29.5
2006-06-01,131,22.9,15,31.6
2006-07-01,131,23.8,18.8,32.7
2006-08-01,131,26.9,19.9,34.2
2006-09-01,131,20.2,10.2,29.9
2006-10-01,131,17.3,4.2,27.4
2006-11-01,131,8.7,-2.1,21.5
2006-12-01,131,1.5,-13.3,13.7
2007-01-01,131,0.5,-10.1,12.1
2007-02-01,131,4.3,-7.9,15.7
2007-03-01,131,7.2,-6.2,20.3
2007-04-01,131,12.4,-0.3,27.2
2007-05-01,131,18.9,9.9,29
2007-06-01,131,23.1,15,32.7
2007-07-01,131,24.7,18.7,31.9
2007-08-01,131,26.6,19.2,33.5
2007-09-01,131,21.7,12.8,33.2
2007-10-01,131,15.4,2.4,26.8
2007-11-01,131,7,-6.6,19.9
2007-12-01,131,2.2,-6.3,15
2008-01-01,131,-1,-10.9,9.3
2008-02-01,131,-1,-10.3,13.3
2008-03-01,131,7.7,-3,20.9
2008-04-01,131,14.4,3.2,28.4
2008-05-01,131,18.9,7.7,31.7
2008-06-01,131,22.1,13.3,30.8
2008-07-01,131,27.1,20.3,34.7
2008-08-01,131,25.7,17.4,35.1
2008-09-01,131,22.5,9.3,31.9
2008-10-01,131,16,5.5,28.9
2008-11-01,131,7,-6.6,20.9
2008-12-01,131,0.9,-11.9,15.1
2009-01-01,131,-2.7,-13.5,10.5
2009-02-01,131,2.8,-9.1,17.6
2009-03-01,131,6.3,-5,23
2009-04-01,131,12.5,-0.1,28
2009-05-01,131,18.8,8.1,29.8
2009-06-01,131,22.9,13.6,33
2009-07-01,131,24.4,18.3,32
2009-08-01,131,25.6,16.6,33.5
2009-09-01,131,21.7,14,31.5
2009-10-01,131,15.9,6.1,28.6
2009-11-01,131,7.4,-4.5,22.2
2009-12-01,131,-0.1,-11.4,11.5
2010-01-01,131,-3.2,-15.1,9.2
2010-02-01,131,2.1,-8.9,19.4
2010-03-01,131,5.3,-3.4,19.7
2010-04-01,131,10.4,-0.7,25
2010-05-01,131,18.5,4.2,31.8
2010-06-01,131,24,12.1,32.8
2010-07-01,131,26.6,20.1,35
2010-08-01,131,28,22.9,35.7
2010-09-01,131,22.8,7.5,34.3
2010-10-01,131,14.8,-1.1,25.4
2010-11-01,131,7,-3.8,19.3
2010-12-01,131,0,-12.4,14.8
2011-01-01,131,-5.9,-15.5,2.9
2011-02-01,131,1.8,-9.5,14.9
2011-03-01,131,4.5,-5.4,19.6
2011-04-01,131,11.9,2.7,24.9
2011-05-01,131,19.3,9.2,29.8
2011-06-01,131,23.7,14.4,32.9
2011-07-01,131,26.1,19.7,34.9
2011-08-01,131,26.1,17.7,35
2011-09-01,131,21.3,11.3,32.4
2011-10-01,131,13.6,1.1,22.9
2011-11-01,131,11.2,-2,25.1
2011-12-01,131,0,-10.2,9.8
2012-01-01,131,-1.9,-10.6,9
2012-02-01,131,-1.3,-15.2,13.6
2012-03-01,131,5.8,-4.7,20.2
2012-04-01,131,13.3,0.5,29.1
2012-05-01,131,19.9,10.7,29.4
2012-06-01,131,23.8,15.5,32.6
2012-07-01,131,26.3,19.4,34.5
2012-08-01,131,27.3,18.7,36.4
2012-09-01,131,21.1,11.1,31.5
2012-10-01,131,14.8,3,25.7
2012-11-01,131,6.2,-3.2,16.4
2012-12-01,131,-3.1,-14,9.1
2013-01-01,131,-2.7,-16.9,14
2013-02-01,131,0,-13.9,18
2013-03-01,131,6.4,-3.5,25.8
2013-04-01,131,10.8,1,27.4
2013-05-01,131,19.2,7.4,32.4
2013-06-01,131,24.6,13.6,32.7
2013-07-01,131,27.2,22.1,34.1
2013-08-01,131,28,19.8,35.5
2013-09-01,131,21.8,11,30.2
2013-10-01,131,15.9,3.6,28.9
2013-11-01,131,6.7,-4.8,22.3
2013-12-01,131,1.1,-7.9,12.3
2014-01-01,131,0.1,-9.7,10.3
2014-02-01,131,2.9,-8.5,16.5
2014-03-01,131,8.5,-3.7,25.9
2014-04-01,131,14.7,2,27.6
2014-05-01,131,19.8,6.3,34.5
2014-06-01,131,23.5,16.8,32
2014-07-01,131,26.5,19.6,36
2014-08-01,131,24.9,18.7,34.1
2014-09-01,131,22.3,14.1,31.5
2014-10-01,131,15.5,3.7,27.8
2014-11-01,131,9,-1.1,18.1
2014-12-01,131,-1.2,-8.7,10.2
2015-01-01,131,0.3,-9,10
2015-02-01,131,2.2,-10.8,13.4
2015-03-01,131,7.5,-5.1,23.6
2015-04-01,131,13.9,4.6,28.4
2015-05-01,131,20,7.6,32.4
2015-06-01,131,23.7,14.9,34.8
2015-07-01,131,25.4,16.3,34.2
2015-08-01,131,26.3,19.2,36.4
2015-09-01,131,21.5,13,30.3
2015-10-01,131,15.3,1,25.2
2015-11-01,131,9.6,-4.1,20.3
2015-12-01,131,2.5,-8,12.8
2016-01-01,131,-1.8,-16.3,11.5
2016-02-01,131,1,-9.4,18.8
2016-03-01,131,7.3,-7.3,20.6
2016-04-01,131,14.7,5.8,29.1
2016-05-01,131,19.9,9.5,31.3
2016-06-01,131,23.6,15.7,32
2016-07-01,131,26.3,19.4,33.8
2016-08-01,131,27.6,16.3,36.3
2016-09-01,131,22.7,13.4,31.4
2016-10-01,131,15.9,1.8,29
2016-11-01,131,6.9,-4.2,21
2016-12-01,131,2.3,-7.5,14.3
2017-01-01,131,-0.8,-11.1,12.8
2017-02-01,131,0.8,-7.7,13.8
2017-03-01,131,6.8,-3.6,18.8
2017-04-01,131,14.7,2.2,29.1
2017-05-01,131,20,10.9,33.1
2017-06-01,131,23.4,14,34.9
2017-07-01,131,27.1,21.9,34.4
2017-08-01,131,26.1,16.8,36.7
2017-09-01,131,21.5,11.5,29.3
2017-10-01,131,15.9,1.1,28.1
2017-11-01,131,6.1,-4.6,19.5
2017-12-01,131,-0.6,-10.8,10.5
2018-01-01,131,-2.9,-15.8,8.8
2018-02-01,131,-0.7,-13.9,13.5
2018-03-01,131,8.5,-5.2,23.5
2018-04-01,131,14.1,1,29.6
2018-05-01,131,19.3,8.3,31.1
2018-06-01,131,23.8,16.5,33.4
2018-07-01,131,28.2,18.5,37.8
2018-08-01,131,28.9,19,39.1
2018-09-01,131,21.3,10.7,30.2
2018-10-01,131,13.3,2.9,25.9
2018-11-01,131,8.4,-1.6,19.3
